Scrip Code,Scrip Id,Scrip Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500002,ABB,ABB India Limited,Active,A ,2.00,INE117A01022,Heavy Electrical Equipment,Equity
500003,AEGISLOG,AEGIS LOGISTICS LTD.,Active,B ,10.00,INE208C01017,Oil Marketing &amp; Distribution,Equity
500008,AMARARAJA,AMARA RAJA BATTERIES LTD.,Active,A ,1.00,INE885A01032,Auto Parts &amp; Equipment,Equity
500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,T ,10.00,INE432A01017,Pharmaceuticals,Equity
500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.00,INE001A01036,Housing Finance ,Equity
500012,ANDHRAPE,ANDHRA PETROCHEMICALS LTD.,Active,B ,10.00,INE714B01016,Commodity Chemicals,Equity
500013,ANSALINFR,ANSAL PROPERTIES &amp; INFRASTRUCTURE LTD.,Active,B ,5.00,INE436A01026,Realty,Equity
500014,APPLEFIN,APPLE FINANCE LTD.,Active,T ,10.00,INE096A01010,Finance (including NBFCs),Equity
500020,BOMBAYDY,BOMBAY DYEING &amp; MFG.CO.LTD.,Active,B ,2.00,INE032A01023,Textiles,Equity
500023,ASIANHOT,Asian Hotels (North) Limited,Active,B ,10.00,INE363A01022,Hotels,Equity
500024,ASSAMCO,Assam Company (India) Limited,Active,B ,1.00,INE442A01024,Tea &amp; Coffee,Equity
500027,ATULLTD,ATUL LTD.,Active,B ,10.00,INE100A01010,Agrochemicals,Equity
500028,ATVPR,ATV PROJECTS INDIA LTD.,Active,T ,10.00,INE447A01015,Construction &amp; Engineering,Equity
500029,AUTOLITE,AUTOLITE (INDIA) LTD.,Active,B ,10.00,INE448A01013,Auto Parts &amp; Equipment,Equity
500030,AUTORIDF,AUTORIDERS FINANCE LTD.,Active,T ,10.00,INE450A01019,Finance (including NBFCs),Equity
500031,BAJAJELE,BAJAJ ELECTRICALS LTD.-$,Active,B ,2.00,INE193E01025,Household Appliances,Equity
500032,BAJAJHIND,BAJAJ HINDUSTHAN LTD.,Active,B ,1.00,INE306A01021,Sugar,Equity
500033,FORCEMOT,FORCE MOTORS LTD.-$,Active,B ,10.00,INE451A01017,Cars &amp; Utility Vehicles,Equity
500034,BAJFINANC,Bajaj Finance Limited,Active,A ,10.00,INE296A01016,Finance (including NBFCs),Equity
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,B ,1.00,INE119A01028,Sugar,Equity
500039,BANCO,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.00,INE213C01025,Auto Parts &amp; Equipment,Equity
500040,CENTURYTEX,CENTURY TEXTILES &amp; INDUSTRIES LTD.,Active,A ,10.00,INE055A01016,Cement &amp; Cement Products,Equity
500041,BANNARIAM,BANNARI AMMAN SUGARS LTD.,Active,B ,10.00,INE459A01010,Sugar,Equity
500042,BASF,BASF INDIA LTD.,Active,B ,10.00,INE373A01013,Specialty Chemicals,Equity
500043,BATA,BATA INDIA LTD.,Active,A ,10.00,INE176A01010,Footwear,Equity
500046,BSTCR,BEST &amp; CROMPTON ENGG.LTD.,Active,T ,10.00,INE287A01015,Industrial Machinery,Equity
