JAMNAAUTO.NS         "Jamna Auto Industries Ltd"                                                                         
ALLCARGO.NS          "Allcargo Logistics Ltd"                                                                            
INDIGO-EQ.NS         "InterGlobe Aviation Ltd"                                                                           
BAJAJ-AUTO-EQ.NS     "BAJAJ AUTO LIMITED"                                                                                
STAR.NS              "Strides Arcolab Ltd"                                                                               
ALOKTEXT.NS          "Alok Industries Ltd"                                                                               
ADSL-EQ.NS           "ALLIED DIGITAL SERVICES LIMITED"                                                                   
ADANIPORT.NS         "ADANI PORTS AND SPECIAL ECONOMI"                                                                   
ABIRLANUV.NS         "Aditya Birla Nuvo Ltd"                                                                             
THIRUSUGA.NS         "Thiru Arooran Sugars Ltd"                                                                          
RICOAUTO.NS          "Rico Auto Industries Ltd"                                                                          
MUKTAARTS.NS         "Mukta Arts Ltd"                                                                                    
ESSDEE.NS            "ESS DEE Aluminium Ltd"                                                                             
APOLLOTYRE-EQ.NS     "APOLLO TYRES LIMITED"                                                                              
ABB.NS               "ABB India Ltd"                                                                                     
ABAN.NS              "Aban Offshore Ltd"                                                                                 
SPARC.NS             "Sun Pharma Advanced Research Co Ltd"                                                               
RCF.NS               "Rashtriya Chemicals and Fertilizers Ltd"                                                           
MRPL.NS              "Mangalore Refinery and Petrochemicals Ltd"                                                         
RDAFTIIIDG-MF.NS     "RELIANCE MUTUAL FD DUAL ADVANTA"                                                                   
AGCNET.NS            "AGC Networks Ltd"                                                                                  
JBMA-EQ.NS           "JBM AUTO LIMITED"                                                                                  
AFTEK-BZ.NS          "AFTEK LIMITED"                                                                                     
PRESSMN.NS           "Pressman Advertising Limited"                                                                      
AIL.NS               "ALSTOM INDIA LIMITED"                                                                              
AURIONPRO.NS         "Aurionpro Solutions Ltd"                                                                           
ADI-EQ.NS            "ADI FINECHEM LIMITED"                                                                              
AMTEKAUTO.NS         "Amtek Auto Ltd"                                                                                    
ANTGRAPHI.NS         "Antarctica Ltd"                                                                                    
AHIMSA-ST.NS         "AHIMSA INDUSTRIES INR10"                                                                           
GREENFIRE-EQ.NS      "GREEN FIRE AGRI COMMODITIES LIM"                                                                   
ATULAUTO.NS          "Atul Auto Limited"                                                                                 
MANGALAM-EQ.NS       "MANGALAM DRUGS AND ORGANICS LIM"                                                                   
OISL.NS              "OCL Iron and Steel Ltd"                                                                            
SFCL.NS              "Star Ferro and Cement Ltd"                                                                         
ALEMBICLT.NS         "Alembic Ltd"                                                                                       
SHRIASTER-EQ.NS      "SHRI ASTER SILICATES LIMITED"                                                                      
INFRABEES.NS         "GOLDMAN SACHS INFR BENCHMARK AS"                                                                   
